firstName,lastName,studyGroup,phoneNumber,position
William,Mueller,РК1-4,(518)737-0065,NotTech
Samuel,Marshall,Л2-2,799.749.9976,TechSenior
Katie,Young,ПС11-8,837-594-6145,NotTech
Tina,Scott,ЮР12-5,001-951-633-2215,TechJunior
Taylor,Fuller,Л10-2,001-595-322-6670,TechJunior
Ethan,Mcintyre,ИБМ10-4,(287)816-6723x3911,TechSenior
Chelsea,Smith,РКТ12-2,426-765-6177x3227,TechSenior
Ryan,Hunt,РК6-3,001-233-374-5509x37356,NotTech
Gregory,Pennington,РКТ3-4,001-539-711-4849x88078,TechSenior
Karen,Scott,ИУ9-8,476-359-4240x491,NotTech
Amy,Walker,Э3-6,001-412-460-4338,NotTech
Patrick,Aguirre,МТ7-4,728.754.6676,TechJunior
Michael,Sosa,ПС2-4,945.909.5925,TechJunior
Jeffery,Dixon,РТ3-7,8213835072,NotTech
Lindsey,Stewart,РТ2-1,877-388-0507,TechSenior
Christopher,White,МТ4-3,(477)236-0778x10423,TechJunior
Linda,Barrett,ИБМ13-1,8426130613,NotTech
Audrey,Henry,АК10-1,001-745-809-5671x41232,TechSenior
Jennifer,Park,РКТ11-5,437-871-9948x6313,NotTech
Amy,Marshall,ПС5-5,4097052454,TechSenior
Daniel,Hale,ЮР7-1,806-687-3535,NotTech
Kayla,Li,СГН12-5,001-962-845-8158,TechJunior
Jackie,Johnson,МТ12-1,+1-689-506-1664x595,TechJunior
Evan,Perry,РЛ9-4,374-800-3731,TechSenior
Lucas,Jackson,ИУ9-1,697.763.0986,TechSenior
Dustin,Dawson,ФН5-4,(769)282-6341x77070,TechSenior
Joshua,Green,ПС5-2,800.777.5610,NotTech
Vanessa,Smith,РЛ10-8,897-449-3176x9050,TechSenior
Barbara,Jackson,БМТ13-3,(860)604-9435x272,TechSenior
Tracy,Hughes,СГН9-7,732-261-1031,TechJunior
Sarah,Shaw,СГН4-6,309.868.6559x624,TechJunior
Mitchell,Coleman,ЮР10-6,+1-302-240-8426x80629,TechSenior
Edward,Smith,СГН3-8,889-639-6604,NotTech
Diane,Cain,ИУ13-8,(467)979-1536,TechSenior
Kayla,Hunter,ФН3-1,350.989.3504,NotTech
Jody,King,АК5-8,988.656.9671x5522,NotTech
April,Salazar,ЮР12-6,793.532.3877,TechJunior
Stephanie,Fowler,РКТ3-6,339-661-1213x406,TechSenior
